iter	Passed	Remaining
0	6	6516
1	11	5618
2	16	5421
3	21	5283
4	26	5209
5	31	5190
6	35	5104
7	40	4981
8	44	4917
9	49	4947
10	54	4916
11	59	4903
12	64	4860
13	68	4847
14	73	4835
15	78	4842
16	83	4825
17	88	4814
18	93	4814
19	97	4800
20	102	4779
21	109	4882
22	117	4984
23	122	4961
24	126	4946
25	131	4931
26	136	4913
27	142	4960
28	147	4945
29	152	4934
30	157	4921
31	162	4911
32	167	4906
33	172	4908
34	177	4892
35	182	4876
36	186	4858
37	191	4848
38	196	4838
39	201	4829
40	204	4789
41	209	4778
42	214	4766
43	218	4752
44	223	4747
45	229	4753
46	234	4744
47	238	4737
48	243	4733
49	250	4758
50	255	4749
51	259	4739
52	264	4730
53	269	4721
54	274	4712
55	278	4701
56	283	4692
57	288	4684
58	293	4674
59	297	4667
60	302	4661
61	307	4653
62	312	4646
63	317	4637
64	321	4631
65	326	4623
66	331	4616
67	336	4614
68	341	4605
69	346	4597
70	350	4589
71	355	4582
72	360	4579
73	365	4574
74	370	4569
75	375	4562
76	380	4556
77	384	4548
78	389	4542
79	394	4535
80	399	4531
81	404	4527
82	409	4521
83	413	4514
84	418	4507
85	423	4502
86	428	4494
87	433	4487
88	437	4482
89	442	4477
90	447	4470
91	452	4463
92	456	4456
93	461	4447
94	466	4442
95	471	4436
96	475	4427
97	480	4422
98	485	4420
99	490	4414
100	496	4418
101	503	4434
102	512	4463
103	520	4481
104	524	4474
105	529	4468
106	534	4459
107	539	4452
108	544	4446
109	548	4438
110	553	4431
111	558	4425
112	563	4420
113	569	4424
114	575	4425
115	581	4429
116	586	4428
117	590	4417
118	597	4421
119	601	4413
120	606	4408
121	611	4400
122	616	4394
123	621	4389
124	626	4382
125	630	4374
126	635	4367
127	639	4359
128	646	4363
129	652	4368
130	659	4371
131	665	4373
132	671	4375
133	677	4381
134	684	4382
135	689	4377
136	693	4371
137	698	4362
138	704	4364
139	710	4363
140	716	4366
141	722	4366
142	728	4363
143	732	4356
144	737	4350
145	742	4342
146	747	4336
147	751	4328
148	756	4323
149	761	4316
150	766	4308
151	771	4303
152	776	4296
153	780	4288
154	786	4286
155	791	4280
156	796	4274
157	800	4268
158	805	4262
159	810	4255
160	815	4249
161	820	4243
162	825	4237
163	830	4231
164	834	4224
165	839	4218
166	844	4211
167	849	4206
168	854	4200
169	858	4193
170	864	4192
171	869	4186
172	874	4180
173	879	4173
174	883	4167
175	888	4160
176	893	4154
177	898	4148
178	903	4143
179	908	4138
180	913	4132
181	918	4126
182	922	4119
183	927	4113
184	932	4107
185	937	4101
186	941	4095
187	946	4089
188	952	4085
189	956	4077
190	961	4071
191	966	4066
192	971	4060
193	975	4054
194	980	4047
195	985	4040
196	989	4034
197	994	4029
198	999	4024
199	1004	4018
200	1010	4017
201	1016	4014
202	1021	4009
203	1025	4002
204	1030	3997
205	1035	3991
206	1040	3985
207	1044	3978
208	1049	3972
209	1054	3967
210	1059	3961
211	1064	3955
212	1069	3950
213	1073	3944
214	1078	3938
215	1083	3932
216	1088	3926
217	1093	3921
218	1098	3915
219	1102	3910
220	1107	3904
221	1112	3898
222	1119	3901
223	1128	3908
224	1135	3910
225	1141	3908
226	1146	3902
227	1151	3897
228	1155	3891
229	1160	3885
230	1165	3880
231	1170	3874
232	1175	3868
233	1180	3863
234	1184	3857
235	1189	3850
236	1194	3845
237	1199	3840
238	1204	3834
239	1209	3829
240	1213	3822
241	1218	3816
242	1223	3811
243	1228	3806
244	1233	3800
245	1237	3793
246	1241	3786
247	1246	3780
248	1250	3772
249	1255	3766
250	1259	3758
251	1264	3752
252	1268	3745
253	1274	3742
254	1278	3735
255	1283	3728
256	1287	3722
257	1291	3715
258	1296	3709
259	1301	3703
260	1305	3696
261	1310	3690
262	1314	3682
263	1318	3675
264	1323	3670
265	1327	3663
266	1332	3656
267	1336	3650
268	1341	3644
269	1345	3637
270	1349	3631
271	1354	3624
272	1358	3617
273	1363	3611
274	1367	3605
275	1371	3598
276	1376	3592
277	1381	3586
278	1385	3580
279	1389	3573
280	1393	3566
281	1398	3560
282	1403	3555
283	1408	3550
284	1413	3545
285	1417	3540
286	1422	3534
287	1427	3529
288	1432	3523
289	1437	3518
290	1441	3512
291	1446	3507
292	1451	3502
293	1456	3497
294	1461	3491
295	1466	3487
296	1471	3482
297	1475	3476
298	1480	3471
299	1486	3467
300	1490	3461
301	1495	3456
302	1500	3450
303	1505	3446
304	1510	3441
305	1514	3435
306	1519	3430
307	1524	3424
308	1529	3419
309	1535	3418
310	1542	3418
311	1548	3413
312	1552	3408
313	1557	3403
314	1562	3397
315	1567	3392
316	1571	3386
317	1576	3381
318	1581	3376
319	1586	3371
320	1590	3365
321	1595	3359
322	1600	3354
323	1605	3349
324	1610	3343
325	1614	3338
326	1619	3333
327	1624	3328
328	1630	3326
329	1637	3324
330	1643	3320
331	1649	3319
332	1656	3316
333	1661	3312
334	1666	3307
335	1670	3302
336	1675	3297
337	1681	3293
338	1686	3288
339	1691	3283
340	1696	3279
341	1701	3274
342	1706	3269
343	1711	3264
344	1716	3259
345	1721	3254
346	1726	3248
347	1731	3243
348	1735	3238
349	1741	3233
350	1745	3228
351	1750	3223
352	1755	3217
353	1760	3212
354	1765	3207
355	1770	3202
356	1774	3196
357	1779	3191
358	1784	3186
359	1833	3260
360	1841	3259
361	1848	3257
362	1855	3255
363	1878	3281
364	1885	3279
365	1892	3278
366	1899	3275
367	1905	3271
368	1943	3322
369	1949	3318
370	1954	3314
371	1960	3310
372	1966	3306
373	1972	3301
374	1978	3297
375	1984	3293
376	1991	3290
377	1997	3286
378	2003	3282
379	2009	3278
380	2016	3275
381	2022	3271
382	2028	3267
383	2034	3263
384	2042	3263
385	2057	3273
386	2063	3267
387	2067	3261
388	2072	3255
389	2078	3250
390	2083	3244
391	2087	3238
392	2092	3232
393	2097	3226
394	2102	3219
395	2107	3213
396	2111	3207
397	2116	3201
398	2121	3195
399	2124	3187
400	2129	3181
401	2134	3175
402	2139	3169
403	2144	3163
404	2149	3158
405	2154	3152
406	2159	3145
407	2164	3139
408	2168	3134
409	2173	3127
410	2178	3122
411	2183	3116
412	2188	3110
413	2193	3104
414	2198	3098
415	2203	3092
416	2207	3086
417	2212	3080
418	2217	3074
419	2221	3068
420	2226	3062
421	2231	3056
422	2235	3049
423	2240	3043
424	2245	3037
425	2250	3031
426	2254	3025
427	2259	3019
428	2264	3014
429	2269	3008
430	2274	3002
431	2278	2996
432	2283	2990
433	2288	2984
434	2293	2978
435	2298	2972
436	2302	2966
437	2307	2961
438	2312	2955
439	2317	2949
440	2322	2943
441	2327	2937
442	2331	2931
443	2336	2926
444	2341	2920
445	2346	2914
446	2351	2909
447	2356	2903
448	2361	2897
449	2366	2892
450	2371	2886
451	2376	2880
452	2380	2874
453	2385	2869
454	2390	2863
455	2395	2857
456	2399	2851
457	2404	2845
458	2409	2839
459	2414	2833
460	2418	2827
461	2424	2823
462	2432	2821
463	2438	2816
464	2442	2810
465	2447	2804
466	2452	2799
467	2457	2793
468	2462	2788
469	2467	2782
470	2472	2777
471	2477	2771
472	2482	2765
473	2487	2759
474	2492	2754
475	2497	2749
476	2502	2743
477	2506	2737
478	2511	2731
479	2516	2725
480	2520	2719
481	2525	2714
482	2530	2708
483	2535	2703
484	2540	2697
485	2545	2692
486	2550	2686
487	2554	2680
488	2559	2674
489	2564	2669
490	2569	2663
491	2574	2658
492	2579	2652
493	2583	2646
494	2588	2640
495	2593	2635
496	2598	2629
497	2603	2624
498	2607	2618
499	2612	2612
500	2617	2606
501	2622	2601
502	2627	2595
503	2631	2589
504	2636	2584
505	2640	2578
506	2645	2572
507	2648	2565
508	2653	2559
509	2658	2554
510	2663	2548
